Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff
660000,14.245254,0.00086890714,-0.6245046945624664,161.34426229508196,5.5624056,-0.6064732463144865,0.25379312,-5.61034,0.12523346,0.12508516,0.0126002515
670000,14.305542,0.00086698745,-0.5109103880822659,189.82692307692307,5.42589,-0.5113978661023654,0.2188396,-5.4478035,0.1078952,0.10783116,0.011996011
680000,14.424054,0.00086495583,-0.7469006656710782,148.86567164179104,5.2343326,-0.7639910800021086,0.19642611,-5.264304,0.097054675,0.09693017,0.011322659
690000,14.481378,0.00086294085,-0.6571392341301991,155.2153846153846,5.0653634,-0.6510643005371094,0.17957929,-5.097154,0.0884722,0.08850295,0.010707396
700000,14.53119,0.00086095184,-0.7014335735686241,154.71428571428572,4.855818,-0.689162114901202,0.1593073,-4.931671,0.07797,0.077969246,0.010109348
710000,14.511768,0.00085899513,-0.6110364997695232,172.1206896551724,4.725696,-0.629862490656047,0.14952767,-4.7806683,0.073264994,0.072836004,0.009579792
720000,14.528122,0.00085695006,-0.5652477700720754,176.05263157894737,4.6212544,-0.5653493616141771,0.14521821,-4.6674,0.071250536,0.07088784,0.009188085
730000,14.571714,0.00085488154,-0.6192174843202035,165.98333333333332,4.5169263,-0.623393689468503,0.121020555,-4.5241203,0.059137322,0.0590217,0.008685796
740000,14.547668,0.0008529658,-0.6183508793855536,169.94827586206895,4.3556075,-0.596440871470961,0.110076524,-4.3882294,0.05340656,0.053471416,0.008230576
750000,14.600698,0.000850971,-0.5456819325685501,179.16363636363636,4.24062,-0.5459001635963266,0.10814246,-4.280816,0.052627455,0.052241933,0.007875131
760000,14.679516,0.00084905257,-0.5488599095432485,164.4262295081967,4.130772,-0.5614738577946288,0.10599685,-4.1785345,0.05109264,0.05113382,0.007559336
770000,14.648678,0.00084714027,-0.6149088315783985,158.11111111111111,3.9571948,-0.6196786916208645,0.10188296,-4.0235167,0.04909552,0.04883282,0.0070711826
780000,14.617761,0.0008450157,-0.6607072749926198,158.59677419354838,3.7998245,-0.6643633222387683,0.09172439,-3.8547747,0.044098377,0.044016633,0.006557461
790000,14.645373,0.00084307714,-0.5837765934307184,152.11940298507463,3.6222224,-0.5774380420193528,0.08966811,-3.7187185,0.042766638,0.04237469,0.006168916
800000,14.60643,0.0008409297,-0.7342168987861701,138.7,3.5292597,-0.7217719308297399,0.084818915,-3.592169,0.040361263,0.040564347,0.0058217007
810000,14.614848,0.00083895377,-0.7867231196773949,106.87096774193549,3.3937936,-0.7945084464938744,0.08671971,-3.4873047,0.04160233,0.04107107,0.005548017
820000,14.657462,0.0008370916,-0.6567025275467193,136.82191780821918,3.328841,-0.6592611257691641,0.09096986,-3.371231,0.043538753,0.04310696,0.005250309
830000,14.673726,0.0008348507,-0.6645951070215391,142.34782608695653,3.2259653,-0.6648484772962072,0.08687477,-3.2404454,0.041232754,0.04082627,0.0049249236
